Vivado Simulator 2018.2
Time resolution is 1 ps

=== TEST 1: Normal Cycle (No Sensors On) ===
Expected: MG1(6s) -> MG2(6s) -> MY(2s) -> SG1(6s) -> SY(2s) -> MG1

================================================================================
Traffic Light Controller Testbench - ALL THREE REQUIRED TESTS
================================================================================
Time(ns) | Cycle | State | Main  | Side  | Walk | Sensor | Button | Timer
---------|-------|-------|-------|-------|------|--------|--------|------
      65 |     0 | MG1   | GREEN | RED   |  0   |   0    |   0    |    1
      85 |     1 | MG1   | GREEN | RED   |  0   |   0    |   0    |    2
     105 |     2 | MG1   | GREEN | RED   |  0   |   0    |   0    |    3
     125 |     3 | MG1   | GREEN | RED   |  0   |   0    |   0    |    4
     145 |     4 | MG1   | GREEN | RED   |  0   |   0    |   0    |    5
     165 |     5 | MG2   | GREEN | RED   |  0   |   0    |   0    |    0
     185 |     6 | MG2   | GREEN | RED   |  0   |   0    |   0    |    1
     205 |     7 | MG2   | GREEN | RED   |  0   |   0    |   0    |    2
     225 |     8 | MG2   | GREEN | RED   |  0   |   0    |   0    |    3
     245 |     9 | MG2   | GREEN | RED   |  0   |   0    |   0    |    4
     265 |    10 | MG2   | GREEN | RED   |  0   |   0    |   0    |    5
     285 |    11 | MY    | YELLO | RED   |  0   |   0    |   0    |    0
     305 |    12 | MY    | YELLO | RED   |  0   |   0    |   0    |    1
     325 |    13 | SG1   | RED   | GREEN |  0   |   0    |   0    |    0
     345 |    14 | SG1   | RED   | GREEN |  0   |   0    |   0    |    1
     365 |    15 | SG1   | RED   | GREEN |  0   |   0    |   0    |    2
     385 |    16 | SG1   | RED   | GREEN |  0   |   0    |   0    |    3
     405 |    17 | SG1   | RED   | GREEN |  0   |   0    |   0    |    4
     425 |    18 | SG1   | RED   | GREEN |  0   |   0    |   0    |    5
     445 |    19 | SY    | RED   | YELLO |  0   |   0    |   0    |    0
     465 |    20 | SY    | RED   | YELLO |  0   |   0    |   0    |    1

=== TEST 2: Walk Button Pressed ===
Expected: Should include WALK state (3s) between MY and SG1
     525 |    21 | MG1   | GREEN | RED   |  0   |   0    |   0    |    0
---------|-------|-------|-------|-------|------|--------|--------|------
>>> END TEST 1 - Starting TEST 2 (Walk Button) <<<
